X_73,X_124,X_90,X_43,X_56,X_515,X_786,X_576,X_412,X_686,X_404,X_413,X_415,X_718,X_651,X_428,X_828,X_574,X_483,X_416,X_539,X_437,X_60,X_900,X_52,X_792,X_571,X_126,X_435,X_63,X_807,X_500,X_543,X_440,X_453,X_448,X_596,X_674,X_555,X_871,X_502,X_58,X_460,Y_Quality,Y_Class,PRODUCT_ID,PRODUCT_CODE,TIMESTAMP
9.62,11390.0,37.0,78.6,66.5,149.9,,0.1,35.2,0.06,36.08163265,34.97,172.0,16.93333333,454.2619048,-22.90909091,12.0,0.2,178.1,167.9,14.0,405.0,70.0,0.0,76.9,412.4666667,,,386.0,73.7,8.4,181.2290323,17.0,27.23566667,411.4897959,2547.0,0.2,26.6,12.5,0.06,309.2909091,75.0,90.18367347,0.517719048,0,TRAIN_022,T_31,2022-06-14 8:53
9.62,11402.0,37.0,78.6,66.5,,17.41666667,,,,36.40816327,,,,455.8780488,,,,,,13.0,,70.0,2.0,76.9,,29.0,,,73.7,,,13.0,,412.2857143,2550.0,,,,,,75.0,90.08163265,0.519090476,0,TRAIN_023,T_31,2022-06-14 9:01
9.73,12886.0,37.0,78.1,67.0,148.4,17.12389381,0.3,35.7,0.07,36.57142857,34.89354839,173.0,18.03225806,444.8823529,-42.0,10.0,0.19,168.3,163.5483871,12.0,359.0,69.0,2.0,78.0,411.6451613,24.0,,409.0,72.7,8.4,186.4,14.0,27.24451613,411.3265306,2533.0,0.4,26.6,12.2,0.06,310.85454550000003,74.7,89.55102041,0.529361905,1,TRAIN_025,T_31,2022-06-19 9:11
10.09,,36.0,78.7,70.1,150.9,17.34862385,0.3,35.7,0.05,37.59183673,34.94193548,169.0,17.93548387,447.2432432,-46.72727273,12.0,0.24,183.4,165.4193548,13.0,373.0,74.5,0.0,80.2,411.4193548,23.0,2251.0,409.0,74.8,8.3,179.1806452,13.0,27.46225806,411.0612245,2534.0,0.2,26.6,27.3,0.07,313.6181818,80.2,89.57142857,0.531992063,1,TRAIN_026,T_31,2022-06-19 9:20
9.82,13107.0,37.0,78.1,67.0,154.7,17.35185185,0.2,36.7,0.04,37.48979592,35.86129032,180.0,17.29032258,450.4,-21.63636364,12.0,0.24,180.3,177.1290323,15.0,337.0,69.0,2.0,78.0,411.6774194,24.0,,405.0,72.7,8.6,183.0322581,16.0,27.098387100000004,411.244898,2540.0,0.3,26.6,10.1,0.07,312.1090909,74.7,90.0,0.532404762,1,TRAIN_029,T_31,2022-06-19 23:31
10.09,,36.0,78.7,70.1,159.3,17.71698113,0.2,36.2,0.05,37.46938776,35.7,181.0,17.03333333,457.5,-21.81818182,12.0,0.23,179.0,174.66666669999998,12.0,385.0,74.5,1.0,80.2,411.5,23.0,2474.0,375.0,74.8,8.6,182.7677419,15.0,27.112,411.3265306,2540.0,0.4,26.6,19.2,0.08,313.1090909,80.2,89.91836735,0.528646032,1,TRAIN_030,T_31,2022-06-19 23:39
10.12,,36.0,78.7,70.1,159.0,17.28828829,0.2,36.7,0.06,37.12244898,35.7,174.0,19.03225806,449.43589739999993,-24.72727273,10.0,0.23,175.1,170.2903226,16.0,334.0,74.5,2.0,80.2,412.1290323,21.0,2777.0,409.0,74.8,8.5,183.6451613,17.0,27.30193548,410.0204082,2539.0,0.3,26.6,11.0,0.08,309.63636360000004,80.2,90.04081633,0.5296333329999999,1,TRAIN_036,T_31,2022-06-22 3:39
9.79,13994.0,37.0,78.1,67.0,145.6,17.65517241,0.2,36.2,0.06,37.57142857,36.00333333,179.0,18.13333333,453.3333333000001,-30.72727273,12.0,0.25,178.4,175.56666669999998,12.0,346.0,69.0,2.0,78.0,412.1333333,24.0,,409.0,72.7,8.5,185.8419355,14.0,27.30366667,410.5510204,2533.0,0.2,26.6,7.1,0.08,312.2545455,74.7,89.89795918,0.533109524,1,TRAIN_037,T_31,2022-06-22 3:47
10.12,,36.0,78.7,70.1,164.8,18.30769231,0.1,36.7,0.05,37.61224489999999,35.98666667,181.0,17.3,448.3513514,-36.42857143,11.0,0.21,180.1,177.9,12.0,498.0,74.5,2.0,80.2,411.9666667,22.0,3021.0,391.0,74.8,8.6,181.4935484,13.0,27.34266667,409.7346939,2536.0,0.2,26.6,16.6,0.08,312.55357139999995,80.2,89.65306122,0.530965079,1,TRAIN_042,T_31,2022-06-23 3:39
10.09,,36.0,78.7,70.1,153.5,18.09174312,0.2,35.2,0.04,36.48979592,34.55,169.0,18.3,438.1,-32.59259259,12.0,0.25,180.3,162.9666667,13.0,337.0,73.8,3.0,80.2,411.8,27.0,3048.0,409.0,74.8,8.3,186.4206897,13.0,27.34366667,410.5714286000001,2531.0,0.4,26.6,7.0,0.08,305.3703704,79.7,90.02040816,0.529498413,1,TRAIN_043,T_31,2022-06-23 6:28
